item_index,rarity_raw,rarity_plus_one,maxStack,icon,iconColor,bottle,buyPrice,sellPrice,type,decoID,equipType,isGz,name_ptr,name,description_ptr,description
33,2,3,10,35,0,0,592,59,4,0,0,0,0x008C0B84,Lifecrystals,0x008D910E,Mysterious crystals long\nworshipped as a source of\nlife.
34,3,4,3,35,0,0,6300,150,4,0,0,0,0x008C0B91,Lifepowder,0x008D9147,Medicine made of compounded\nLifecrystals. Heals those\nnearby with a single touch.
35,4,5,1,35,1,0,36000,3600,5,0,0,0,0x008C0B9C,Powercharm,0x008D9199,An amulet that raises your\nAttack. Just carrying it\ngives you demonic strength.
36,4,5,1,31,1,0,68400,6840,5,0,0,0,0x008C0BA7,Powertalon,0x008D91E9,A powerful amulet that\nraises Attack. Made with\na Lao-Shan Claw.
37,4,5,1,35,7,0,24000,2400,5,0,0,0,0x008C0BB2,Armorcharm,0x008D922A,An amulet that raises your\nDefense. Just carrying this\nhardens your skin.
38,4,5,1,31,7,0,50400,5040,5,0,0,0,0x008C0BBD,Armortalon,0x008D9274,A powerful amulet that\nraises Defense. Made with\na Lao-Shan Claw.
39,3,4,10,24,1,0,150,15,4,0,0,0,0x008C0BC8,Tranquilizer,0x008D92B6,Medicine that works as an\nanesthetic when combined.
40,0,1,10,3,1,0,50,5,4,0,0,0,0x008C0BD5,Raw Meat,0x008D92EA,"Meat carved from a monster.\nCan be cooked, combined, or\nused to set a trap."
41,0,1,10,3,1,0,120,12,4,0,0,0,0x008C0BDE,Oiled Meat,0x008D9336,Raw meat basted with a\nfragrant oil that'll make\nanyone's mouth water.
42,0,1,10,3,1,0,200,20,4,0,0,0,0x008C0BE9,Spiced Meat,0x008D937D,Raw meat basted with a\nspicy rub that'll make\nanyone's mouth water.
43,0,1,10,3,6,0,220,22,4,0,0,0,0x008C0BF5,Glazed Meat,0x008D93C1,"Raw meat basted with a\nrefreshing, yet sweet glaze.\nMakes anyone's mouth water."
44,0,1,10,3,5,0,188,19,5,0,0,0,0x008C0C01,Poisoned Meat,0x008D9411,Raw meat that poisons\nanything that eats it.\nGreat bait for traps.
45,1,2,10,3,4,0,300,30,5,0,0,0,0x008C0C0F,Tinged Meat,0x008D9454,Raw meat that paralyzes\nanything that eats it.\nGreat bait for traps.
46,0,1,10,3,6,0,315,32,5,0,0,0,0x008C0C1B,Drugged Meat,0x008D9499,Raw meat that causes sleep\nin anything that eats it.\nGreat bait for traps.
47,0,1,10,3,7,0,30,3,4,0,0,0,0x008C0C28,Rare Steak,0x008D94E4,Provides a small boost to\nyour stamina. This one's\nstill red in the middle.
48,1,2,10,3,7,0,96,48,4,0,0,0,0x008C0C33,Well-done Steak,0x008D9530,Provides a moderate boost \nto your stamina. Packed\nwith juicy goodness.
49,2,3,10,3,7,0,128,64,4,0,0,0,0x008C0C43,Gourmet Steak,0x008D9578,The pinnacle of steaks.\nSo juicy and crisp it'll\nboost your full Stamina.
50,0,1,10,3,10,0,10,1,4,0,0,0,0x008C0C51,Burnt Meat,0x008D95C2,"Meat that has been burnt to\na crisp. It might boost your\nStamina, or it might not..."
51,0,1,10,3,1,0,250,25,4,0,0,0,0x008C0C5C,Hot Meat,0x008D9617,Meat that warms the body\nand provides temporary\nrelief from extreme cold.
52,0,1,10,3,1,0,300,30,4,0,0,0,0x008C0C65,Hot Meat+,0x008D9661,Provides temporary relief\nfrom the cold and restores\na small amount of Stamina.
53,0,1,10,3,6,0,300,30,4,0,0,0,0x008C0C6F,Chilled Meat,0x008D96B1,Meat that cools the body\nand provides temporary\nrelief from extreme heat.
54,0,1,10,3,6,0,380,38,4,0,0,0,0x008C0C7C,Chilled Meat+,0x008D96FB,Provides temporary relief\nfrom the heat and restores\na small amount of Stamina.
55,0,1,10,3,5,0,200,20,4,0,0,0,0x008C0C8A,Antidote Meat,0x008D974B,Antidotal meat that removes\nPoison from your system.
56,0,1,10,3,5,0,280,28,4,0,0,0,0x008C0C98,Antidote Meat+,0x008D9780,Antidotal meat that removes\nPoison from your system and\nrecovers some Stamina.
57,0,1,10,5,6,0,20,2,4,0,0,0,0x008C0CA7,Rare Fish,0x008D97CF,"While not fully cooked, it\nwill still restore Stamina."
58,1,2,10,5,7,0,80,40,4,0,0,0,0x008C0CB1,Well-done Fish,0x008D9806,A crispy grilled fish that\nimproves natural healing\nand restores Stamina.
59,1,2,10,5,7,0,120,60,4,0,0,0,0x008C0CC0,Well-done Fish+,0x008D9850,High-quality grilled fish.\nBoosts natural recovery and \nStamina.
60,2,3,3,5,7,0,115,58,4,0,0,0,0x008C0CD0,Gourmet Fish,0x008D9891,Fish grilled to perfection.\nBoosts natural recovery and\nStamina.
61,2,3,3,5,7,0,140,70,4,0,0,0,0x008C0CDD,Gourmet Fish+,0x008D98D2,A large fish grilled to\nperfection. Boosts natural\nrecovery and Stamina.
62,0,1,10,5,10,0,10,1,4,0,0,0,0x008C0CEB,Burnt Fish,0x008D991B,Charred fish. Eating it will\nstill recover some Stamina.
63,4,5,10,24,8,0,0,0,0,0,0,0,0x000C72C6,（ダミー）,0x000DFFD5,ダミー。
64,3,4,5,49,4,0,150,15,5,0,0,0,0x008C0CF6,Boomerang,0x008D9954,An unusually-shaped weapon\nfrom abroad that returns to\nits user when thrown.
65,0,1,5,38,0,0,0,0,5,0,0,0,0x008C0D00,Throwing Knife,0x008D99A1,A standard throwing knife.\nFlies straight and true.\n~C05(Supply Item)~C00
66,0,1,5,38,5,0,0,0,5,0,0,0,0x008C0D0F,Poison Knife,0x008D99EB,A throwing knife with a\nvenom-coated blade. Poisons\ntargets. ~C05(Supply Item)~C00
67,0,1,5,38,6,0,0,0,5,0,0,0,0x008C0D1C,Sleep Knife,0x008D9A3E,A throwing knife that has\nbeen dusted with sleeping\nagents. ~C05(Supply Item)~C00
68,0,1,5,38,4,0,0,0,5,0,0,0,0x008C0D28,Paralysis Knife,0x008D9A90,A throwing knife coated\nwith toxins that paralyze\na target. ~C05(Supply Item)~C00
69,3,4,5,38,1,0,0,0,5,0,0,0,0x008C0D38,Tranq Knife,0x008D9AE2,A throwing knife used to\ncapture monsters ensnared\nin traps. ~C05(Supply Item)~C00
70,0,1,30,1,0,0,150,15,5,0,0,0,0x008C0D44,Bomb Casing,0x008D9B35,A base material for making\nhand-thrown bombs.
71,0,1,99,1,8,0,100,10,5,0,0,0,0x008C0D50,Paintball,0x008D9B63,"Toss this scented paint at a \nmonster to mark it, allowing\nyou to track its position."
72,1,2,5,1,4,0,572,57,5,0,0,0,0x008C0D5A,Flash Bomb,0x008D9BB9,Flashes brightly on impact.\nToss this right under a\nmonster's nose to blind it.
73,1,2,10,1,10,0,450,45,5,0,0,0,0x008C0D65,Sonic Bomb,0x008D9C09,A grenade-like item that\nemits a high-frequency blast\nof sound on detonation.
74,0,1,10,8,4,0,10,1,1,0,0,0,0x008C0D70,Dung,0x008D9C57,That's right: monster poop.\nThe odor reveals (too) much\nabout a monster's diet.
75,1,2,10,8,4,0,90,9,5,0,0,0,0x008C0D75,Dung Bomb,0x008D9CA7,"When thrown, releases a\nstrong odor which certain\nmonsters find repulsive."
76,1,2,10,0,0,0,437,44,5,0,0,0,0x008C0D7F,Smoke Bomb,0x008D9CF2,Creates a large cloud of\nsmoke wherever it lands.
77,1,2,10,0,5,0,600,60,5,0,0,0,0x008C0D8A,Psn Smoke Bomb,0x008D9D24,Contains a toxic chemical.\nAlso popular as a household\nbug bomb.
78,2,3,1,0,2,0,300,30,5,0,0,0,0x008C0D99,Farcaster,0x008D9D65,Instantly transports you\nback to base camp.
79,1,2,5,0,6,0,80,8,5,0,0,0,0x008C0DA3,Deodorant,0x008D9D91,An item that cures Stench.\nReleases deodorizing smoke\nwhen thrown down.
80,3,4,8,1,1,0,350,35,5,0,0,0,0x008C0DAD,Tranq Bomb,0x008D9DD9,A hand-thrown bomb used to\ncapture monsters ensnared in\ntraps.
81,0,1,10,22,0,0,60,6,5,0,0,0,0x008C0DB8,Spider Web,0x008D9E18,A very sticky web.
82,1,2,10,22,0,0,108,20,5,0,0,0,0x008C0DC3,Net,0x008D9E2B,A sturdy net able to support\na certain amount of weight\nwithout breaking.
83,2,3,2,6,2,0,200,20,5,0,0,0,0x008C0DC7,Trap Tool,0x008D9E75,A must-have item for putting\ntogether Pitfall Traps and\nother kinds of traps.
84,2,3,1,21,2,0,462,46,5,0,0,0,0x008C0DD1,Pitfall Trap,0x008D9EC3,A trap for catching certain\nlarge monsters. Tripped by\nheavy weight.
85,2,3,1,21,5,0,320,80,5,0,0,0,0x008C0DDE,Shock Trap,0x008D9F08,A trap that immobilizes a\ntarget. Use it to capture\nmonsters.
86,2,3,5,21,10,0,280,28,5,0,0,0,0x008C0DE9,Lightning Rod,0x008D9F46,A device used to attract\nlightning during storms.
87,4,5,3,21,10,0,0,0,0,0,0,0,0x000C72C6,（ダミー）,0x000DFFD5,ダミー。
88,4,5,99,17,10,0,100,10,5,0,0,0,0x008C0DF7,Barrel Lid,0x008D9F78,A small barrel lid. There\nappears to be a drawing on\nit.
89,0,1,10,17,4,0,80,8,5,0,0,0,0x008C0E02,Small Barrel,0x008D9FB1,"A small, empty barrel."
90,1,2,10,17,1,0,210,21,5,0,0,0,0x008C0E0F,Large Barrel,0x008D9FC8,"A large, empty barrel."
91,1,2,10,2,4,0,156,16,5,0,0,0,0x008C0E1C,Barrel Bomb S,0x008D9FDF,A small time-bomb.
92,3,4,5,2,4,0,518,52,5,0,0,0,0x008C0E2A,Barrel Bomb S+,0x008D9FF2,"Upgraded Small Barrel Bomb.\nDespite its size, it packs\na strong punch."
93,2,3,3,2,1,0,518,52,5,0,0,0,0x008C0E39,Barrel Bomb L,0x008DA039,"Powerful bomb triggered by\nexternal, physical impact."
94,3,4,2,2,1,0,800,80,5,0,0,0,0x008C0E47,Barrel Bomb L+,0x008DA06F,Upgraded Large Barrel Bomb.\nEffective against large\nmonsters.
95,1,2,10,2,3,0,180,18,5,0,0,0,0x008C0E56,Bounce Bomb,0x008DA0AD,Launches into the air when\nset. This modified bomb\nrequires skill to use.
96,3,4,10,2,3,0,680,68,5,0,0,0,0x008C0E62,Bounce Bomb+,0x008DA0F7,An improved version of the\nBounce Bomb. Requires some\nskill to use.
97,2,3,10,2,4,0,0,0,5,0,0,0,0x008C0E6F,Anti-Dragon Bomb,0x008DA13B,A small time bomb designed\nto stick directly to large\ntargets. ~C05(Supply Item)~C00
98,4,5,10,2,4,0,500,50,0,0,0,0,0x008C0E80,Event Bomb,0x000E0E74,【ＣＴアイテム】\nイベント用爆弾
99,0,1,99,28,10,0,2,1,5,0,0,0,0x008C0E8B,Huskberry,0x008DA190,A berry that is hollow on\nthe inside. Tough enough to\ngrow just about anywhere.
100,1,2,99,28,0,0,100,3,5,0,0,0,0x008C0E95,Bone Husk S,0x008DA1E0,Used as a bone ammo casing.\nProduces sturdier results\nthan a Huskberry.
101,2,3,99,28,0,0,50,5,5,0,0,0,0x008C0EA1,Bone Husk L,0x008DA228,Ammo casing made from large\nwyvern bones. Produces even\nsturdier results.
102,0,1,255,26,0,0,1,0,5,0,0,0,0x008C0EAD,Normal S Lv1,0x008DA272,"Ammo for novices. Cheap, but\ndon't expect much. Unlimited\nshots."
103,0,1,99,26,0,1,2,1,5,0,0,0,0x008C0EBA,Normal S Lv2,0x008DA2B3,Non-specialized ammo. More\npowerful than Lv1.\nCapacity: 99
104,1,2,99,26,0,2,4,2,5,0,0,0,0x008C0EC7,Normal S Lv3,0x008DA2EE,Non-specialized ammo. More\npowerful than Lv2.\nCapacity: 99
105,1,2,60,26,0,3,10,1,5,0,0,0,0x008C0ED4,Pierce S Lv1,0x008DA329,Armor-piercing ammo that\ndeals multiple hits to some\nmonsters. Capacity: 60
106,1,2,50,26,0,4,23,3,5,0,0,0,0x008C0EE1,Pierce S Lv2,0x008DA375,High-grade armor-piercing\nammo. Deals more hits than\nLv1. Capacity: 50
107,2,3,40,26,0,5,36,5,5,0,0,0,0x008C0EEE,Pierce S Lv3,0x008DA3BC,Max-grade armor-piercing\nammo. Deals numerous hits.\nCapacity: 40
108,1,2,60,26,0,6,7,1,5,0,0,0,0x008C0EFB,Pellet S Lv1,0x008DA3FD,Ammo that spreads out to\ncover a wide area.\nCapacity: 60
109,1,2,60,26,0,7,11,2,5,0,0,0,0x008C0F08,Pellet S Lv2,0x008DA436,Ammo that covers a wide \narea. Deals more hits than\nLv1. Capacity: 60
110,2,3,60,26,0,8,15,3,5,0,0,0,0x008C0F15,Pellet S Lv3,0x008DA47C,Max-grade ammo that covers\na wide area. Deals numerous\nhits. Capacity: 60
111,2,3,9,26,0,9,29,4,5,0,0,0,0x008C0F22,Crag S Lv1,0x008DA4C6,Ammo that lodges in a target\nand explodes. Also deals\nStun. Capacity: 9
112,2,3,9,26,0,10,46,7,5,0,0,0,0x008C0F2D,Crag S Lv2,0x008DA50E,Powerful ammo that lodges\nin a target and explodes.\nAlso stuns. Capacity: 9
113,2,3,9,26,0,11,49,7,5,0,0,0,0x008C0F38,Crag S Lv3,0x008DA55A,Devastating ammo that lodges\nin a target and explodes.\nAlso stuns. Capacity: 9
114,1,2,3,26,0,12,27,4,5,0,0,0,0x008C0F43,Clust S Lv1,0x008DA5A9,Ammo that divides into three\nshells upon impact. Beware\nfriendly fire! Capacity: 3
115,2,3,3,26,0,13,44,6,5,0,0,0,0x008C0F4F,Clust S Lv2,0x008DA5FC,Ammo that divides into four\nshells upon impact. Beware\nfriendly fire! Capacity: 3
116,2,3,3,26,0,14,69,10,5,0,0,0,0x008C0F5B,Clust S Lv3,0x008DA64E,Ammo that divides into five\nshells upon impact. Beware\nfriendly fire! Capacity: 3
117,2,3,60,26,1,15,20,3,5,0,0,0,0x008C0F67,Flaming S,0x008DA6A0,Ammo that packs an extra\npunch against enemies weak\nto Fire. Capacity: 60
118,2,3,60,26,6,16,20,3,5,0,0,0,0x008C0F71,Water S,0x008DA6EA,Ammo that packs an extra\npunch against enemies weak\nto Water. Capacity: 60
119,2,3,60,26,4,17,20,3,5,0,0,0,0x008C0F79,Thunder S,0x008DA735,Ammo that packs an extra\npunch against enemies weak\nto Thunder. Capacity: 60
120,2,3,60,26,3,18,20,3,5,0,0,0,0x008C0F83,Freeze S,0x008DA782,Ammo that packs an extra\npunch against enemies weak\nto Ice. Capacity: 60
121,4,5,20,26,1,19,165,24,5,0,0,0,0x008C0F8C,Dragon S,0x008DA7CB,Mysterious ammo that won't\nwork in normal Bowguns.\n Capacity: 20
122,0,1,12,26,2,20,6,2,5,0,0,0,0x008C0F95,Recover S Lv1,0x008DA80C,Ammo that restores a small\namount of health to an ally\nupon impact. Capacity: 12
123,1,2,12,26,2,21,15,2,5,0,0,0,0x008C0FA3,Recover S Lv2,0x008DA85D,Ammo that restores a medium\namount of health to an ally\nupon impact. Capacity: 12
124,1,2,12,26,5,22,12,2,5,0,0,0,0x008C0FB1,Poison S Lv1,0x008DA8AF,"Poisons target, but may\nrequire several shots.\nCapacity: 12"
125,2,3,8,26,5,23,17,2,5,0,0,0,0x008C0FBE,Poison S Lv2,0x008DA8EB,Enhanced ammo that inflicts\nPoison. May require several\nshots. Capacity: 8
126,2,3,12,26,4,24,18,3,5,0,0,0,0x008C0FCB,Para S Lv1,0x008DA936,"Paralyzes target, but may\nrequire several shots.\nCapacity: 12"
127,3,4,8,26,4,25,38,5,5,0,0,0,0x008C0FD6,Para S Lv2,0x008DA974,Enhanced ammo that inflicts\nParalysis. May require \nseveral shots. Capacity: 8
128,2,3,12,26,6,26,12,2,5,0,0,0,0x008C0FE1,Sleep S Lv1,0x008DA9C3,Ammo that induces Sleep.\nSome targets may require\nmultiple shots. Capacity: 12
129,3,4,8,26,6,27,25,3,5,0,0,0,0x008C0FED,Sleep S Lv2,0x008DAA12,Enhanced ammo that inflicts\nSleep. May require several\nshots. Capacity: 8
130,3,4,8,26,1,28,32,4,5,0,0,0,0x008C0FF9,Tranq S,0x008DAA5C,Bowgun ammo used to capture\nmonsters ensnared in traps.  Capacity: 8
131,0,1,99,26,8,29,14,6,5,0,0,0,0x008C1001,Paint S,0x008DAAA1,Ammo that marks a monsters\nposition on the map for a\nlimited time. Capacity: 99
132,2,3,5,26,1,30,60,9,5,0,0,0,0x008C1009,Demon S,0x008DAAF1,Ammo that fills the target\nwith savage amounts of \nstrength. Capacity: 5
133,2,3,5,26,7,31,48,7,5,0,0,0,0x008C1011,Armor S,0x008DAB3A,Ammo that makes the targets\nskin as hard as stone.\nCapacity: 5
134,4,5,99,26,3,27,0,0,0,0,0,0,0x000C72C6,（ダミー）,0x000DFFD5,ダミー。
135,0,1,255,51,10,0,0,0,0,0,0,0,0x008C1019,No Coating,0x000E1754,ソフト仮データ
136,0,1,99,51,0,13,3,1,5,0,0,0,0x008C1024,Empty Phial,0x008DAB79,"A regular old empty phial.\nNothing more, nothing less."
137,1,2,50,50,1,1,16,3,5,0,0,0,0x008C1030,Pwr Coat,0x008DABB0,An arrow coating that\nincreases the Attack of\narrows. Capacity: 50
138,2,3,20,50,5,2,12,2,5,0,0,0,0x008C1039,Psn Coat,0x008DABF3,An arrow coating that\napplies Poison effects\nto arrows. Capacity: 20
139,2,3,20,50,4,3,20,3,5,0,0,0,0x008C1042,Para Coat,0x008DAC38,An arrow coating that\napplies Paralysis effects\nto arrows. Capacity: 20
140,2,3,20,50,6,4,12,2,5,0,0,0,0x008C104C,Slp Coat,0x008DAC80,An arrow coating that\napplies Sleep effects\nto arrows. Capacity: 20
141,4,5,99,51,3,27,0,0,0,0,0,0,0x000C72C6,（ダミー）,0x000DFFD5,ダミー。
142,0,1,5,4,2,0,10,1,2,0,0,0,0x008C1055,Cricket,0x008DACC4,An energetic insect that is\npopular as fishing bait.
143,0,1,10,4,10,0,20,2,2,0,0,0,0x008C105D,Worm,0x008DACF9,Often used as a fishing \nlure. Entices those fishies\nto bite.
144,1,2,20,4,4,0,40,4,2,0,0,0,0x008C1062,Firefly,0x008DAD37,A glowing insect that makes\nfor a great fishing lure.
145,1,2,10,4,3,0,150,15,2,0,0,0,0x008C106A,Frog,0x008DAD6D,A fishing lure. The ideal\nbait for certain aquatic\nmonsters.
146,1,2,10,4,6,0,40,4,5,0,0,0,0x008C106F,Tuna Bait,0x008DADAA,"A nugget-shaped fishing\nlure that makes various\ntunas go ""mmm."""
147,1,2,10,4,0,0,70,7,5,0,0,0,0x008C1079,Arowana Bait,0x008DADEA,"A nugget-shaped fishing\nlure that makes Arowana\ngo ""mmm."""
148,3,4,5,4,4,0,300,30,5,0,0,0,0x008C1086,Goldenfish Bait,0x008DAE24,"A nugget-shaped fishing\nlure that makes Goldenfish\ngo ""mmm""."
149,2,3,10,4,8,0,30,3,2,0,0,0,0x008C1096,Mega Fishing Fly,0x008DAE61,A fly lure that causes a\nfeeding frenzy no matter\nwhat fish is biting.
150,0,1,3,16,10,0,60,6,5,0,0,0,0x008C10A7,Old Pickaxe,0x008DAEA8,A cheap pickaxe with an\neasily nicked blade.
151,0,1,4,16,0,0,160,16,5,0,0,0,0x008C10B3,Iron Pickaxe,0x008DAED5,A pickaxe with a reasonably\nstrong blade.
152,2,3,5,16,4,0,240,24,5,0,0,0,0x008C10C0,Mega Pickaxe,0x008DAEFF,Pickaxe tempered with steel.\nThis one won't nick easily.
153,0,1,3,13,10,0,30,3,5,0,0,0,0x008C10CD,Old Bug Net,0x008DAF38,A cheap net for catching\nbugs. It tears easily.
154,0,1,4,13,0,0,80,8,5,0,0,0,0x008C10D9,Bug Net,0x008DAF68,A durable net for catching\nbugs.
155,2,3,5,13,4,0,120,12,5,0,0,0,0x008C10E1,Mega Bug Net,0x008DAF89,An extremely durable net\nfor catching bugs. This\none is made to last.
156,3,4,1,19,1,0,1980,198,5,0,0,0,0x008C10EE,BBQ Spit,0x008DAFCF,Just what you need to cook\nmeat. A must-have item for\nany hungry hunter.
157,3,4,1,19,6,16,10000,1000,5,0,0,0,0x008C10F7,Rapid BBQ Spit,0x008DB018,"Cooks faster than a normal\nBBQ Spit, but also requires\nmore skill to use."
158,3,4,1,19,1,0,4980,498,5,0,0,0,0x008C1106,Manly BBQ Spit,0x008DB062,A BBQ Spit tailored to the\ndiscerning male hunter.\nMakes grilling easy!
159,3,4,1,19,8,0,4980,498,5,0,0,0,0x008C1115,Ladies' BBQ Spit,0x008DB0AA,A BBQ Spit tailored to the\ndiscerning female hunter.\nMakes grilling fun!
160,3,4,1,19,10,0,4980,498,5,0,0,0,0x008C1126,Felyne BBQ Spit,0x008DB0F3,"A BBQ Spit tailor-made for\nFelynes. You wouldn't blame\nthem for failing, would you?"
161,3,4,1,19,10,0,1280,128,5,0,0,0,0x008C1136,Universal BBQ Kit,0x008DB147,An upgrade kit for a BBQ\nSpit. Combine them to take\nyour grilling to the max.
162,3,4,1,19,3,0,3500,350,5,0,0,0,0x008C1148,Universal BBQ Set,0x008DB195,A versatile BBQ Spit. Try\ncombining it with the item\nyou want to cook!
163,3,4,1,19,3,0,3500,350,5,0,0,0,0x008C115A,Meat BBQ,0x008DB1DC,A versatile BBQ Spit lined\nwith Raw Meat. All that's\nleft is to grill it!
164,3,4,1,19,3,0,3500,350,5,0,0,0,0x008C1163,Meat BBQ,0x008DB226,A versatile BBQ Spit lined\nwith Oiled Meat. All that's\nleft is to grill it!
165,3,4,1,19,3,0,3500,350,5,0,0,0,0x008C116C,Meat BBQ,0x008DB272,A versatile BBQ Spit lined\nwith Spiced Meat. All that's\nleft is to grill it!
166,3,4,1,19,3,0,3500,350,5,0,0,0,0x008C1175,Meat BBQ,0x008DB2BF,A versatile BBQ Spit lined\nwith Glazed Meat. All that's\nleft is to grill it!
167,3,4,1,19,3,0,3500,350,5,0,0,0,0x008C117E,Meat BBQ,0x008DB30C,A versatile BBQ Spit lined\nwith Poisoned Meat. All that\nis left is to grill it!
168,3,4,1,19,3,0,3500,350,5,0,0,0,0x008C1187,Fish BBQ,0x008DB35C,A versatile BBQ Spit lined\nwith fish. All that's left\nis to grill it!
169,3,4,1,19,3,0,3500,350,5,0,0,0,0x008C1190,Fish BBQ,0x008DB3A2,A versatile BBQ Spit lined\nwith a large fish. All that\nis left is to grill it!
170,4,5,1,19,3,0,0,0,0,0,0,0,0x000C72C6,（ダミー）,0x000DFFD5,ダミー。
171,4,5,1,19,3,0,0,0,0,0,0,0,0x000C72C6,（ダミー）,0x000DFFD5,ダミー。
172,0,1,20,7,4,0,80,8,5,0,0,0,0x008C1199,Whetstone,0x008DB3F1,A standard-sized Whetstone.\nUse it to restore a weapon's\nSharpness.
173,0,1,1,11,0,0,50,5,5,0,0,0,0x008C11A3,Binoculars,0x008DB435,Allow you to see farther\nand observe from a distance.
